user_id,,occurred_at,action,user_type
0,,2014/6/5 9:30,sent_weekly_digest,1
0,,13-05-2014 09:30,sent_weekly_digest,1
0,,20-05-2014 09:30,sent_weekly_digest,1
0,,27-05-2014 09:30,sent_weekly_digest,1
0,,2014/3/6 9:30,sent_weekly_digest,1
0,,2014/3/6 9:30,email_open,1
0,,2014/10/6 9:30,sent_weekly_digest,1
0,,2014/10/6 9:30,email_open,1
0,,17-06-2014 09:30,sent_weekly_digest,1
0,,17-06-2014 09:30,email_open,1
0,,24-06-2014 09:30,sent_weekly_digest,1
0,,2014/1/7 9:30,sent_weekly_digest,1
0,,2014/8/7 9:30,sent_weekly_digest,1
0,,15-07-2014 09:30,sent_weekly_digest,1
0,,22-07-2014 09:30,sent_weekly_digest,1
0,,29-07-2014 09:30,sent_weekly_digest,1
0,,29-07-2014 09:30,email_open,1
0,,2014/5/8 9:30,sent_weekly_digest,1
0,,2014/12/8 9:30,sent_weekly_digest,1
0,,19-08-2014 09:30,sent_weekly_digest,1
0,,19-08-2014 09:30,email_open,1
0,,26-08-2014 09:30,sent_weekly_digest,1
4,,2014/6/5 9:30,sent_weekly_digest,3
4,,13-05-2014 09:30,sent_weekly_digest,3
4,,13-05-2014 09:30,email_open,3
4,,13-05-2014 09:31,email_clickthrough,3
4,,20-05-2014 09:30,sent_weekly_digest,3
4,,20-05-2014 09:30,email_open,3
4,,20-05-2014 09:31,email_clickthrough,3
4,,27-05-2014 09:30,sent_weekly_digest,3
4,,2014/3/6 9:30,sent_weekly_digest,3
4,,2014/10/6 9:30,sent_weekly_digest,3
4,,17-06-2014 09:30,sent_weekly_digest,3
4,,24-06-2014 09:30,sent_weekly_digest,3
4,,24-06-2014 09:30,email_open,3
4,,24-06-2014 09:31,email_clickthrough,3
4,,2014/1/7 9:30,sent_weekly_digest,3
4,,2014/1/7 9:30,email_open,3
4,,2014/1/7 9:30,email_clickthrough,3
4,,2014/8/7 9:30,sent_weekly_digest,3
4,,15-07-2014 09:30,sent_weekly_digest,3
4,,22-07-2014 09:30,sent_weekly_digest,3
4,,29-07-2014 09:30,sent_weekly_digest,3
4,,2014/5/8 9:30,sent_weekly_digest,3
4,,2014/12/8 9:30,sent_weekly_digest,3
4,,2014/12/8 9:30,email_open,3
4,,19-08-2014 09:30,sent_weekly_digest,3
4,,26-08-2014 09:30,sent_weekly_digest,3
8,,2014/6/5 9:30,sent_weekly_digest,3
8,,13-05-2014 09:30,sent_weekly_digest,3
8,,20-05-2014 09:30,sent_weekly_digest,3
8,,27-05-2014 09:30,sent_weekly_digest,3
8,,2014/3/6 9:30,sent_weekly_digest,3
8,,2014/3/6 9:30,email_open,3
8,,2014/10/6 9:30,sent_weekly_digest,3
8,,17-06-2014 09:30,sent_weekly_digest,3
8,,24-06-2014 09:30,sent_weekly_digest,3
8,,2014/1/7 9:30,sent_weekly_digest,3
8,,2014/8/7 9:30,sent_weekly_digest,3
8,,2014/8/7 9:30,email_open,3
8,,15-07-2014 09:30,sent_weekly_digest,3
8,,22-07-2014 09:30,sent_weekly_digest,3
8,,29-07-2014 09:30,sent_weekly_digest,3
8,,29-07-2014 09:30,email_open,3
8,,29-07-2014 09:30,email_clickthrough,3
8,,2014/5/8 9:30,sent_weekly_digest,3
8,,2014/12/8 9:30,sent_weekly_digest,3
8,,19-08-2014 09:30,sent_weekly_digest,3
8,,26-08-2014 09:30,sent_weekly_digest,3
11,,2014/6/5 9:30,sent_weekly_digest,1
11,,13-05-2014 09:30,sent_weekly_digest,1
11,,20-05-2014 09:30,sent_weekly_digest,1
11,,27-05-2014 09:30,sent_weekly_digest,1
11,,2014/3/6 9:30,sent_weekly_digest,1
11,,2014/10/6 9:30,sent_weekly_digest,1
11,,2014/10/6 9:30,email_open,1
11,,17-06-2014 09:30,sent_weekly_digest,1
11,,17-06-2014 09:30,email_open,1
11,,17-06-2014 09:30,email_clickthrough,1
11,,24-06-2014 09:30,sent_weekly_digest,1
11,,2014/1/7 9:30,sent_weekly_digest,1
11,,2014/8/7 9:30,sent_weekly_digest,1
11,,2014/8/7 9:30,email_open,1
11,,15-07-2014 09:30,sent_weekly_digest,1
11,,22-07-2014 09:30,sent_weekly_digest,1
11,,29-07-2014 09:30,sent_weekly_digest,1
11,,29-07-2014 09:30,email_open,1
11,,29-07-2014 09:31,email_clickthrough,1
11,,2014/5/8 9:30,sent_weekly_digest,1
11,,2014/12/8 9:30,sent_weekly_digest,1
11,,19-08-2014 09:30,sent_weekly_digest,1
11,,26-08-2014 09:30,sent_weekly_digest,1
11,,26-08-2014 09:30,email_open,1
17,,2014/7/5 9:30,sent_weekly_digest,1
17,,14-05-2014 09:30,sent_weekly_digest,1
17,,21-05-2014 09:30,sent_weekly_digest,1
17,,21-05-2014 09:30,email_open,1
17,,28-05-2014 09:30,sent_weekly_digest,1
17,,2014/4/6 9:30,sent_weekly_digest,1
17,,2014/11/6 9:30,sent_weekly_digest,1
